,0,currentRecs,keywordRecs,mixedRecs,keyphraseRecs
0,"Okay, bye.",,bye,,okay bye
1,So we're going on a field trip today.,field,trip,trip,field trip
2,and we're heading to the Gen-C River.,heading,river,river,gen river
3,We're writing the boat.,boat,boat,boat,writing boat
4,in the river.,river,river,river,river
5,And it has two seats for the both of us.,seats,seats,seats,seats
6,I can sit in the left seat.,seat,seat,seat,left seat
7,to drive the boat maybe.,boat,boat,boat,boat maybe
8,you,,no key word,,no key word
9,you,,no key word,,no key word
10,and,,no key word,,no key word
11,the rice seed.,rice,rice,rice,rice seed
12,Thanks for you.,Thanks,thanks,Thanks,thanks
13,So you can see right on the river.,river,river,river,river
14,And...,,no key word,,no key word
15,chairs are yellow.,chairs,chairs,chairs,chairs yellow
16,in the boat.,boat,boat,boat,boat
17,And the duck is.,duck,duck,duck,duck
18,Blue.,Blue,blue,Blue,blue
19,The outside of the boat is green.,outside,boat,boat,boat green
20,So I just...,So,just,So,just
21,moving.,moving,moving,moving,moving
22,along the river.,river,river,river,river
23,you,,no key word,,no key word
24,you,,no key word,,no key word
25,you,,no key word,,no key word
26,you,,no key word,,no key word
27,you,,no key word,,no key word
28,Okay.,,okay,,okay
29,And then in the river we see a duck.,river,duck,duck,river duck
30,The duck is yellow.,duck,duck,duck,duck yellow
31,It's a huge one.,one,huge,huge,huge
32,and,,no key word,,no key word
33,We're wondering where is...,wondering,wondering,wondering,wondering
34,It's children.,children,children,children,children
35,and see that the dark has.,dark,dark,dark,dark
36,a red mount.,mount,mount,mount,red mount
37,It looks like it's smelling that nice.,looks,smelling,smelling,smelling nice
38,I also had some fur on the side.,fur,fur,fur,fur
39,and it is swimming along our boat.,boat,boat,boat,swimming boat
40,"And you can see the duck is looking sideways, maybe it's looking at us.",duck,duck,duck,duck looking
41,and you can see it wiggles its tails,tails,tails,tails,wiggles tails
42,assessments.,assessments,assessments,assessments,assessments
43,I'm gonna pet the duck.,duck,duck,duck,pet duck
44,So also looking up.,looking,looking,looking,looking
45,Move to the sky.,sky,sky,sky,sky
46,There are some birds.,birds,birds,birds,birds
47,On the sky.,sky,sky,sky,sky
48,making sounds.,sounds,making,sounds,making sounds
49,And then here comes an octopus.,octopus,octopus,octopus,comes octopus
50,The ox post is red.,ox,ox,ox,ox post
51,It's looking quite angry.,looking,angry,angry,quite angry
52,"t know, maybe it",know,maybe,maybe,maybe
53,Do you think?,think,think,think,think
54,and its legs.,legs,legs,legs,legs
55,I'll curl up.,curl,curl,curl,ll curl
56,It does it swim.,swim,swim,swim,does swim
57,as much.,much,no key word,much,no key word
58,Just stay safe.,stay,safe,stay,stay safe
59,And observing us.,observing,observing,observing,observing
60,I'm gonna take a picture of the octopus.,picture,octopus,octopus,picture octopus
61,maybe Elsa hasn't slept in.,slept,elsa,elsa,elsa hasn
62,"A few days, has to.",days,days,days,days
63,Dark and the eyes.,eyes,dark,dark,dark eyes
64,you,,no key word,,no key word
65,"Then, rope, then, outside the river.",rope,rope,rope,rope outside
66,There comes an elephant.,elephant,elephant,elephant,comes elephant
67,It's working really loud.,working,loud,loud,really loud
68,Thank you.,Thank,thank,Thank,thank
69,And it also wiggles this little tail and walks.,tail,wiggles,wiggles,tail walks
70,Good.,Good,good,Good,good
71,Anyhas.,,anyhas,,anyhas
72,big news.,news,news,news,big news
73,It uses this nose to drink water.,nose,nose,nose,nose drink
74,And we're wondering...,wondering,wondering,wondering,wondering
75,and we'll come to the river.,river,river,river,come river
76,because when it's leg is lift up,leg,leg,leg,leg lift
77,So maybe...,So,maybe,So,maybe
78,walking towards us.,walking,walking,walking,walking
79,I also have some,have,no key word,have,no key word
80,Boot Docs.,Boot,boot,Boot,boot docs
81,on his body.,body,body,body,body
82,You can see,see,no key word,see,no key word
83,s a pretty sunny day outside and it,day,sunny,sunny,sunny day
84,a little pink.,little,pink,little,little pink
85,I really like the grey colour.,colour,grey,grey,grey colour
86,I think it's scary.,think,scary,scary,think scary
87,you,,no key word,,no key word
88,"So, finally we're going back to our house after a long day.",house,house,house,going house
89,.,,no key word,,no key word
90,Then it was windy so the pink flag,flag,windy,windy,pink flag
91,you,,no key word,,no key word
92,And you turned out like a little.,turned,turned,turned,turned like
93,when we come back home.,come,home,home,come home
94,and we also open.,open,open,open,open
95,up the,,no key word,,no key word
96,pink curtains,curtains,curtains,curtains,pink curtains
97,since it's such a nice day outside.,day,outside,outside,day outside
98,you,,no key word,,no key word
99,and we put up the pictures on the wall.,pictures,wall,wall,pictures wall
100,from my film trip today.,film,film,film,film trip
101,And,,no key word,,no key word
102,You can see,see,no key word,see,no key word
103,You can see the little elephant here.,elephant,elephant,elephant,little elephant
104,Bye!,,bye,,bye
105,We also got the...,got,got,got,got
106,"Mmm, okay.",,mmm,,mmm okay
107,in today.,today,today,today,today
108,while we were on our field trip.,field,trip,trip,field trip
109,some worker came in and painted our roof red.,worker,roof,roof,roof red
110,Okay.,,okay,,okay
111,"But then while we're at home, the fire truck came.",home,truck,truck,truck came
